Journal title	ISSN	eISSN	Publisher details	Open Access Status
ANAS Transactions, Earth Sciences	2218-8754	2663-0419	Geology and Geophysics Institute at Azerbaijan National Academy of Sciences (ANAS)	
Anastasis	2392-862X	2392-9472	Research Center of Medieval Art Vasile Dragut	Unpaywall Open Access
Anasthesiologie und Intensivmedizin	0170-5334	1439-0256	Aktiv Druck and Verlag GmbH	
Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS	0939-2661	1439-1074	Georg Thieme Verlag	
Anatolia	1303-2917	2156-6909	Routledge	
Anatolian Journal of Cardiology	2149-2263	2149-2271	Turkish Society of Cardiology	Unpaywall Open Access
Anatolian Journal of Family Medicine	2630-5593	2651-3455	Kare Publishing	Unpaywall Open Access
Anatolian Studies	0066-1546	-	Cambridge University Press	
Anatolica	0066-1554	1875-6654	Peeters Publishers	
Anatomical Record	1932-8486	1932-8494	John Wiley & Sons Inc.	
Anatomical Science International	1447-6959	1447-073X	Springer	
Anatomical Sciences Education	1935-9772	1935-9780	John Wiley & Sons Inc.	
Anatomy and Cell Biology	2093-3665	2093-3673	Korean Association of Anatomists	
Anbar Journal of Agricultural Sciences	1992-7479	2617-6211	University of Anbar	Unpaywall Open Access
Ancient Asia	-	2042-5937	ARF India	Unpaywall Open Access
Ancient Civilizations from Scythia to Siberia	0929-077X	1570-0577	Brill Academic Publishers	
Ancient History Bulletin	0835-3638	-	Ancient History Bulletin	
Ancient Iranian Studies	2821-2215	2821-2223	Tissaphernes Archaeological Research Group	
Ancient Judaism and Early Christianity	1871-6636	-	Brill Academic Publishers	
Ancient Magic and Divination	1566-7952	-	Brill Academic Publishers	
Ancient Mesoamerica	0956-5361	1469-1787	Cambridge University Press	
Ancient Near Eastern Studies	1378-4641	1783-1326	Peeters Publishers	
Ancient Numismatic	2724-2145	2784-9694	Fabrizio Serra Editore	
Ancient Philosophy	0740-2007	2154-4689	Philosophy Documentation Center	
Ancient Society	0066-1619	1783-1334	Peeters Publishers	
Anclajes	0329-3807	1851-4669	Instituto de Investigaciones Literarias y Discursivas, Universidad Nacional de La Pampa	Unpaywall Open Access
Andamios	1870-0063	-	Universidad Nacional Autonoma de Mexico	
Andean Geology	0718-7092	0718-7106	Servicio Nacional de Geologia y Mineria	Unpaywall Open Access
Andes Pediatrica	2452-6045	2452-6053	Sociedad Chilena de Pediatria	Unpaywall Open Access
Androgens	-	2689-4653	Mary Ann Liebert Inc.	
Andrologia	0303-4569	1439-0272	Wiley-VCH Verlag	
Andrologia i Genital'naa Hirurgia	2070-9781	2412-8902	ABV-press Publishing House	Unpaywall Open Access
Andrology	2047-2919	2047-2927	John Wiley & Sons Inc.	
Anemia	2090-1267	2090-1275	John Wiley and Sons Ltd	Unpaywall Open Access
Anestezi Dergisi	1300-0578	-	Anestezi Dergisi	
Anesteziologie a Intenzivni Medicina	1214-2158	1805-4412	Czech Medical Association J.E. Purkyne	
Anesthesia and Analgesia	0003-2999	1526-7598	Lippincott Williams and Wilkins	
Anesthesia and Pain Medicine	1975-5171	2383-7977	Korean Society of Anesthesiologists	Unpaywall Open Access
Anesthesia Progress	0003-3006	1878-7177	Allen Press Inc.	
Anesthesie et Reanimation	2352-5800	2352-5819	Elsevier Masson s.r.l.	
Anesthesiology	0003-3022	1528-1175	Lippincott Williams and Wilkins	
Anesthesiology and Pain Medicine	2228-7523	2228-7531	Brieflands	
Anesthesiology Clinics	1932-2275	2210-3538	W.B. Saunders	
Anesthesiology Research and Practice	1687-6962	1687-6970	John Wiley and Sons Ltd	Unpaywall Open Access
Angelaki - Journal of the Theoretical Humanities	0969-725X	1469-2899	Taylor and Francis Ltd.	
Angewandte Chemie - International Edition	1433-7851	1521-3773	John Wiley and Sons Ltd	
Angiogenesis	0969-6970	1573-7209	Springer Science and Business Media B.V.	
Angiologia	0003-3170	-	Viguera Editores S.L.	
Angiologiya i Sosudistaya Khirurgiya	1027-6661	-	Geotar Media Publishing Group	
Angiology	0003-3197	1940-1574	SAGE Publications Inc.	
Angle Orthodontist	0003-3219	1945-7103	Allen Press Inc.	Unpaywall Open Access
Angles	-	2274-2042	Societe des Anglicistes de l’Enseignement Superieur	Unpaywall Open Access
Anglia	0340-5222	1865-8938	Walter de Gruyter GmbH	
Anglica	0860-5734	-	University of Warsaw	Unpaywall Open Access
Anglican-Episcopal Theology and History	2405-7576	-	Brill Academic Publishers	
Anglo Saxonica	-	0873-0628	Ubiquity Press	Unpaywall Open Access
Anglo-Saxon England	0263-6751	1474-0532	Cambridge University Press	
Aniki: Portuguese Journal of the Moving Image	-	2183-1750	Association of Moving Image Researchers (AIM)	Unpaywall Open Access
Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology	0972-8066	0972-8074	Anil Aggrawal	
Animal	1751-7311	1751-732X	Elsevier B.V.	Unpaywall Open Access
Animal - Open space	-	2772-6940	Elsevier B.V.	
Animal Behaviour	0003-3472	1095-8282	Academic Press	
Animal Biodiversity and Conservation	1578-665X	2014-928X	Museu de Ciencies Naturals de Barcelona	Unpaywall Open Access
Animal Biology	1570-7555	1570-7563	Brill Academic Publishers	
Animal Bioscience	2765-0189	2765-0235	Asian-Australasian Association of Animal Production Societies	Unpaywall Open Access
Animal Biotechnology	1049-5398	1532-2378	Taylor and Francis Ltd.	Unpaywall Open Access
Animal Biotelemetry	-	2050-3385	BioMed Central Ltd	Unpaywall Open Access
Animal Cells and Systems	1976-8354	2151-2485	Taylor and Francis Ltd.	Unpaywall Open Access
Animal Cognition	1435-9448	1435-9456	Springer Science and Business Media Deutschland GmbH	Unpaywall Open Access
Animal Conservation	1367-9430	1469-1795	Wiley-Blackwell	
Animal Diseases	2731-0442	-	BioMed Central Ltd	Unpaywall Open Access
Animal Feed Science and Technology	0377-8401	-	Elsevier B.V.	
Animal Frontiers	2160-6056	2160-6064	Oxford University Press	Unpaywall Open Access
Animal Genetics	0268-9146	1365-2052	Wiley-Blackwell Publishing Ltd	
Animal Health Research Reviews	1466-2523	1475-2654	Cambridge University Press	
Animal Microbiome	-	2524-4671	BioMed Central Ltd	Unpaywall Open Access
Animal Migration	-	2084-8838	Walter de Gruyter GmbH	
Animal Models and Experimental Medicine	2096-5451	2576-2095	John Wiley and Sons Inc	Unpaywall Open Access
Animal Nutrition	2405-6545	2405-6383	KeAi Communications Co.	Unpaywall Open Access
Animal Nutrition and Feed Technology	0972-2963	0974-181X	Indian journals	
Animal Production Research	2252-0872	2538-6107	University of Guilan	
Animal Production Science	1836-0939	1836-5787	CSIRO Publishing 	
Animal Reproduction	1806-9614	1984-3143	Colegio Brasileiro de Reproducao Animal	Unpaywall Open Access
Animal Reproduction Science	0378-4320	1873-2232	Elsevier B.V.	
Animal Research and One Health	-	2835-5075	John Wiley and Sons Inc	Unpaywall Open Access
Animal Science and Food Technology	2706-8331	2706-834X	National University of Life and Environmental Sciences of Ukraine	
Animal Science and Genetics	-	2720-6076	Polish Society of Animal Production	Unpaywall Open Access
Animal Science Journal	1344-3941	1740-0929	John Wiley and Sons Inc	
Animal Science Papers and Reports	0860-4037	2300-8342	Institute of Genetics and Animal Biotechnology of the Polish Academy of Sciences	
Animal Sentience	-	2377-7478	WellBeing International	Unpaywall Open Access
Animal Technology and Welfare	1742-0385	-	Institute of Animal Technology	
Animal Welfare	0962-7286	-	Universities Federation for Animal Welfare	Unpaywall Open Access
Animals	-	2076-2615	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Animation	1746-8477	1746-8485	SAGE Publications Ltd	
Ankara Medical Journal	1303-2283	2148-4570	Ankara Yildirim Beyazit University	Unpaywall Open Access
Ankara Universitesi Eczacilik Fakultesi Dergisi	1015-3918	2564-6524	University of Ankara	
Ankara Universitesi Ilahiyat Fakultesi Dergisi	1301-0522	1309-2057	Ankara University, Journal of the Faculty of Divinity	Unpaywall Open Access
Ankara Universitesi Veteriner Fakultesi Dergisi	1300-0861	-	Chartered Institution of Building Services Engineers	
An-Najah University Journal for Research - A (Natural Sciences)	1727-2114	2311-8865	An-Najah National University	
An-Najah University Journal for Research - B (Humanities)	1727-8449	2311-8962	An-Najah National University	
Annalen der Physik	0003-3804	1521-3889	Wiley-Blackwell	
Annales	0395-2649	-	Armand Colin Paris	
Annales Botanici Fennici	0003-3847	-	Finnish Zoological and Botanical Publishing Board	
Annales de Biologie Clinique	0003-3898	1950-6112	John Libbey	
Annales de Bourgogne	0003-3901	-	Societe des Annales de Bourgogne	
Annales de Cardiologie et d'Angeiologie	0003-3928	1768-3181	Elsevier Masson s.r.l.	
Annales de Chimie: Science des Materiaux	0151-9107	1958-5934	Lavoisier	
Annales de Chirurgie Plastique Esthetique	0294-1260	1768-319X	Elsevier Masson s.r.l.	
Annales de Demographie Historique	0066-2062	-	Editions Belin et Herscher	
Annales de Dermatologie et de Venereologie	0151-9638	-	Elsevier Masson s.r.l.	
Annales de Geographie	0003-4010	-	Armand Colin Paris	
Annales de la Faculte de Droit d'Istanbul	0578-9745	2687-4113	Istanbul University Press	Unpaywall Open Access
Annales de la Fondation Louis de Broglie	0182-4295	-	Fondation Louis de Broglie	
Annales de la Societe Entomologique de France	0037-9271	2168-6351	Taylor and Francis Ltd.	
Annales de l'Institut Fourier	0373-0956	-	Association des Annales de l'Institut Fourier	
Annales de l'institut Henri Poincare (B) Probability and Statistics	0246-0203	-	Institute of Mathematical Statistics	
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire	0294-1449	1873-1430	European Mathematical Society Publishing House	Unpaywall Open Access
Annales de l'Institut Henri Poincare (D) Combinatorics, Physics and their Interactions	2308-5827	2308-5835	European Mathematical Society Publishing House	Unpaywall Open Access
Annales de Paleontologie	0753-3969	-	Elsevier Masson s.r.l.	
Annales de Pathologie	0242-6498	-	Elsevier Masson s.r.l.	
Annales d'Endocrinologie	0003-4266	2213-3941	Elsevier Masson s.r.l.	
Annales des Telecommunications/Annals of Telecommunications	0003-4347	1958-9395	Springer Paris	
Annales d'Universite 'Valahia' Targoviste, Section d'Archeologie et d'Histoire	1584-1855	-	Valahia University Targoviste	
Annales Fennici Mathematici	2737-0690	2737-114X	Finnish Mathematical Society	
Annales Francaises de Medecine d'Urgence	2108-6524	2108-6591	Springer Paris	
Annales Francaises d'Oto-Rhino-Laryngologie et de Pathologie Cervico-Faciale	1879-7261	1879-727X	Elsevier Masson s.r.l.	
Annales Geophysicae	0992-7689	1432-0576	Copernicus Publications	Unpaywall Open Access
Annales Henri Poincare	1424-0637	1424-0661	Birkhauser Verlag Basel	
Annales Instituti Archaeologici	-	1848-6363	Institut za Arheologiju	
Annales Mathematicae et Informaticae	1787-5021	1787-6117	Eszterhazy Karoly College	
Annales Mathematicae Silesianae	0860-2107	2391-4238	Sciendo	Unpaywall Open Access
Annales Mathematiques Blaise Pascal	1259-1734	2118-7436	Universite Clermont Auvergne	Unpaywall Open Access
Annales Mathematiques du Quebec	2195-4755	2195-4763	Springer International Publishing AG	
Annales Medico-Psychologiques	0003-4487	1769-6631	Elsevier Masson s.r.l.	
Annales Pharmaceutiques Francaises	0003-4509	-	Elsevier Masson s.r.l.	
Annales Polonici Mathematici	0066-2216	1730-6272	Polska Akademia Nauk,Instytut Matematycznys	
Annales Scientifiques de l'Ecole Normale Superieure	0012-9593	-	Societe Mathematique de France	
Annales Societatis Geologorum Poloniae	0208-9068	-	Geological Society of Poland	
Annales Universitates Paedagogicae Cracoviensis. Studia ad Didacticam Mathematicae Pertinentia	2080-9751	2450-341X	Uniwersytet Pedagogiczny	
Annales Universitatis Apulensis. Series Historica	1453-9306	-	Universitatea "1 Decembrie 1918" Alba Iulia	
Annales Universitatis Mariae Curie-Sklodowska, sectio A - Mathematica	0365-1029	2083-7402	Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej w Lublinie	
Annales Universitatis Mariae Curie-Sklodowska. Sectio B	0137-1983	-	Wydawnictwo Uniwersytetu Marii Curie-Sklodowskiej w Lublinie	Unpaywall Open Access
Annales Zoologici	0003-4541	-	Muzeum i Instytut Zoologii	
Annales Zoologici Fennici	0003-455X	-	Finnish Zoological and Botanical Publishing Board	
Annales, Series Historia Naturalis	1408-533X	-	The Historical Society of Southern Primorska of Koper, Institute IRRIS for Research, Development and Strategies of Society, Culture and Environment	
Annales-Anali za Istrske in Mediteranske Studije - Series Historia et Sociologia	1408-5348	1318-9425	The Historical Society of Southern Primorska of Koper, Institute IRRIS for Research, Development and Strategies of Society, Culture and Environment	
Annali della Scuola Normale Superiore di Pisa - Classe di Scienze	0391-173X	2036-2145	Scuola Normale Superiore	
Annali dell'Istituto Storico Itali-Germanico in Trento	0392-0011	2612-2251	Societa Editrice Il Mulino	
Annali dell'Istituto Superiore di Sanita	0021-2571	2384-8553	Istituto Superiore di Sanita	Unpaywall Open Access
Annali dell'Universita di Ferrara	0430-3202	1827-1510	Springer-Verlag Italia s.r.l.	
Annali di Botanica	0365-0812	2239-3129	University of Rome La Sapienza	
Annali di Ca Foscari Serie Orientale	-	2385-3042	Edizioni Ca' Foscari	Unpaywall Open Access
Annali di Igiene Medicina Preventiva e di Comunita	1120-9135	-	Societa Editrice Universo	
Annali di Matematica Pura ed Applicata	0373-3114	1618-1891	Springer Nature	
Annali di Scienze Religiose	2031-5929	2294-8775	Brepols Publishers	
Annali di Storia delle Universita Italiane	1127-8250	-	Societa Editrice Il Mulino	
Annali di Storia dell'Esegesi	1120-4001	-	Centro Editoriale Dehoniano	
Annali di Studi Religiosi	1592-5927	2284-3892	Centro Editoriale Dehoniano	
Annali Italiani di Chirurgia	0003-469X	2239-253X	Edizioni Luigi Pozzi	
Annals of "Dunarea de Jos" University of Galati, Fascicle XII, Welding Equipment and Technology	1221-4639	-	Galati University Press	Unpaywall Open Access
Annals of 3D Printed Medicine	-	2666-9641	Elsevier Masson s.r.l.	Unpaywall Open Access
Annals of Actuarial Science	1748-4995	1748-5002	Cambridge University Press	
Annals of African Medicine	1596-3519	0975-5764	Wolters Kluwer Medknow Publications	
Annals of African Surgery	1999-9674	2523-0816	Surgical Society of Kenya	Unpaywall Open Access
Annals of Agri Bio Research	0971-9660	-	Agri Bio Research Publishers	
Annals of Agricultural and Environmental Medicine	1232-1966	1898-2263	Institute of Agricultural Medicine	Unpaywall Open Access
Annals of Agricultural Sciences	0570-1783	2090-8377	Faculty of Agriculture, Ain-Shams University	Unpaywall Open Access
Annals of Allergy, Asthma and Immunology	1081-1206	1534-4436	American College of Allergy, Asthma and Immunology	
Annals of Anatomy	0940-9602	1618-0402	Elsevier GmbH	
